Phase;Type de mission;Mission;Code Programme;Programme;Code Action;Action
PLF 2017;Budget général;Médias, livre et industries culturelles;180;Presse et médias;06;Soutien à l'expression radiophonique locale
PLF 2017;Budget général;Médias, livre et industries culturelles;180;Presse et médias;07;Compagnie internationale de radio et télévision (CIRT)
PLF 2017;Budget général;Médias, livre et industries culturelles;334;Livre et industries culturelles;01;Livre et lecture
PLF 2017;Budget général;Médias, livre et industries culturelles;334;Livre et industries culturelles;02;Industries culturelles
PLF 2017;Budget général;Outre-mer;138;Emploi outre-mer;01;Soutien aux entreprises
PLF 2017;Budget général;Outre-mer;138;Emploi outre-mer;02;Aide à l'insertion et à la qualification professionnelle
PLF 2017;Budget général;Outre-mer;138;Emploi outre-mer;03;Pilotage des politiques des outre-mer
PLF 2017;Budget général;Outre-mer;123;Conditions de vie outre-mer;01;Logement
PLF 2017;Budget général;Outre-mer;123;Conditions de vie outre-mer;02;Aménagement  du territoire
PLF 2017;Budget général;Outre-mer;123;Conditions de vie outre-mer;03;Continuité territoriale
PLF 2017;Budget général;Outre-mer;123;Conditions de vie outre-mer;04;Sanitaire, social, culture, jeunesse et sports
PLF 2017;Budget général;Outre-mer;123;Conditions de vie outre-mer;06;Collectivités territoriales
PLF 2017;Budget général;Outre-mer;123;Conditions de vie outre-mer;07;Insertion économique et coopération régionales
PLF 2017;Budget général;Outre-mer;123;Conditions de vie outre-mer;08;Fonds exceptionnel d'investissement
PLF 2017;Budget général;Outre-mer;123;Conditions de vie outre-mer;09;Appui à l'accès aux financements bancaires
PLF 2017;Budget général;Politique des territoires;112;Impulsion et coordination de la politique d'aménagement du territoire;01;Attractivité économique et compétitivité des territoires
PLF 2017;Budget général;Politique des territoires;112;Impulsion et coordination de la politique d'aménagement du territoire;02;Développement solidaire et équilibré des territoires
PLF 2017;Budget général;Politique des territoires;112;Impulsion et coordination de la politique d'aménagement du territoire;04;Instruments de pilotage et d'étude
PLF 2017;Budget général;Politique des territoires;162;Interventions territoriales de l'État;02;Eau - Agriculture en Bretagne
PLF 2017;Budget général;Politique des territoires;162;Interventions territoriales de l'État;04;Programme exceptionnel d'investissements en faveur de la Corse
PLF 2017;Budget général;Politique des territoires;162;Interventions territoriales de l'État;06;Plan gouvernemental sur le Marais Poitevin - Poitou Charentes
PLF 2017;Budget général;Politique des territoires;162;Interventions territoriales de l'État;08;Plan chlordécone en Martinique et en Guadeloupe
PLF 2017;Budget général;Politique des territoires;147;Politique de la ville;01;Actions territorialisées et Dispositifs spécifiques de la politique de la ville
PLF 2017;Budget général;Politique des territoires;147;Politique de la ville;02;Revitalisation économique et emploi
PLF 2017;Budget général;Politique des territoires;147;Politique de la ville;03;Stratégie, ressources et évaluation
PLF 2017;Budget général;Politique des territoires;147;Politique de la ville;04;Rénovation urbaine et amélioration du cadre de vie
PLF 2017;Budget général;Pouvoirs publics;501;Présidence de la République;01;Présidence de la République
PLF 2017;Budget général;Pouvoirs publics;511;Assemblée nationale;01;Assemblée nationale
PLF 2017;Budget général;Pouvoirs publics;521;Sénat;01;Sénat
PLF 2017;Budget général;Pouvoirs publics;521;Sénat;02;Jardin du Luxembourg
PLF 2017;Budget général;Pouvoirs publics;521;Sénat;03;Musée du Luxembourg
PLF 2017;Budget général;Pouvoirs publics;541;La Chaîne parlementaire;01;La Chaîne parlementaire - Assemblée nationale
PLF 2017;Budget général;Pouvoirs publics;541;La Chaîne parlementaire;02;Public Sénat
PLF 2017;Budget général;Pouvoirs publics;542;Indemnités des représentants français au Parlement européen;01;Indemnités des représentants français au Parlement européen
PLF 2017;Budget général;Pouvoirs publics;531;Conseil constitutionnel;01;Conseil constitutionnel
PLF 2017;Budget général;Pouvoirs publics;532;Haute Cour;01;Haute Cour
PLF 2017;Budget général;Pouvoirs publics;533;Cour de justice de la République;01;Cour de justice de la République
PLF 2017;Budget général;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire;01;Formation initiale et continue du baccalauréat à la licence
PLF 2017;Budget général;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire;02;Formation initiale et continue de niveau master
PLF 2017;Budget général;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire;03;Formation initiale et continue de niveau doctorat
PLF 2017;Budget général;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire;04;Établissements d'enseignement privés
PLF 2017;Budget général;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire;05;Bibliothèques et documentation
PLF 2017;Budget général;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire;13;Diffusion des savoirs et musées
PLF 2017;Budget général;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire;14;Immobilier
PLF 2017;Budget général;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire;15;Pilotage et support du programme
PLF 2017;Budget général;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire;17;Recherche
PLF 2017;Budget général;Recherche et enseignement supérieur;231;Vie étudiante;01;Aides directes
PLF 2017;Budget général;Recherche et enseignement supérieur;231;Vie étudiante;02;Aides indirectes
PLF 2017;Budget général;Recherche et enseignement supérieur;231;Vie étudiante;03;Santé des étudiants et activités associatives, culturelles et sportives
PLF 2017;Budget général;Recherche et enseignement supérieur;231;Vie étudiante;04;Pilotage et animation du programme
PLF 2017;Budget général;Recherche et enseignement supérieur;172;Recherches scientifiques et technologiques pluridisciplinaires;01;Pilotage et animation
PLF 2017;Budget général;Recherche et enseignement supérieur;172;Recherches scientifiques et technologiques pluridisciplinaires;02;Agence nationale de la recherche
PLF 2017;Budget général;Recherche et enseignement supérieur;172;Recherches scientifiques et technologiques pluridisciplinaires;11;Recherches interdisciplinaires et transversales
PLF 2017;Budget général;Recherche et enseignement supérieur;172;Recherches scientifiques et technologiques pluridisciplinaires;12;Diffusion, valorisation et transfert des connaissances et des technologies
PLF 2017;Budget général;Recherche et enseignement supérieur;172;Recherches scientifiques et technologiques pluridisciplinaires;13;Grandes infrastructures de recherche
PLF 2017;Budget général;Recherche et enseignement supérieur;172;Recherches scientifiques et technologiques pluridisciplinaires;14;Moyens généraux et d'appui à la recherche
PLF 2017;Budget général;Recherche et enseignement supérieur;172;Recherches scientifiques et technologiques pluridisciplinaires;15;Recherches scientifiques et technologiques en sciences de la vie et de la santé
PLF 2017;Budget général;Recherche et enseignement supérieur;172;Recherches scientifiques et technologiques pluridisciplinaires;16;Recherches scientifiques et technologiques en sciences et techniques de l'information
PLF 2017;Budget général;Recherche et enseignement supérieur;172;Recherches scientifiques et technologiques pluridisciplinaires;17;Recherches scientifiques et technologiques dans le domaine de l'énergie
PLF 2017;Budget général;Recherche et enseignement supérieur;172;Recherches scientifiques et technologiques pluridisciplinaires;18;Recherches scientifiques et technologiques dans le domaine de l'environnement
PLF 2017;Budget général;Recherche et enseignement supérieur;172;Recherches scientifiques et technologiques pluridisciplinaires;19;Recherches scientifiques et technologiques en sciences humaines et sciences sociales
PLF 2017;Budget général;Recherche et enseignement supérieur;193;Recherche spatiale;01;Développement de la technologie spatiale au service de la science
PLF 2017;Budget général;Recherche et enseignement supérieur;193;Recherche spatiale;02;Développement de la technologie spatiale au service de l'observation de la terre
PLF 2017;Budget général;Recherche et enseignement supérieur;193;Recherche spatiale;03;Développement de la technologie spatiale au service de la recherche en sciences de l'information et de la communication
PLF 2017;Budget général;Recherche et enseignement supérieur;193;Recherche spatiale;04;Maîtrise de l'accès à l'espace
PLF 2017;Budget général;Recherche et enseignement supérieur;193;Recherche spatiale;05;Maîtrise des technologies orbitales et de l'innovation technologique
PLF 2017;Budget général;Recherche et enseignement supérieur;193;Recherche spatiale;06;Moyens généraux et d'appui à la recherche
PLF 2017;Budget général;Recherche et enseignement supérieur;193;Recherche spatiale;07;Développement des satellites de météorologie
PLF 2017;Budget général;Recherche et enseignement supérieur;190;Recherche dans les domaines de l'énergie, du développement et de la mobilité durables;10;Recherche dans le domaine de l'énergie
PLF 2017;Budget général;Recherche et enseignement supérieur;190;Recherche dans les domaines de l'énergie, du développement et de la mobilité durables;11;Recherche dans le domaine des risques
PLF 2017;Budget général;Recherche et enseignement supérieur;190;Recherche dans les domaines de l'énergie, du développement et de la mobilité durables;12;Recherche dans le domaine des transports, de la construction et de l'aménagement
PLF 2017;Budget général;Recherche et enseignement supérieur;190;Recherche dans les domaines de l'énergie, du développement et de la mobilité durables;13;Recherche partenariale dans le développement et l'aménagement durable
PLF 2017;Budget général;Recherche et enseignement supérieur;190;Recherche dans les domaines de l'énergie, du développement et de la mobilité durables;14;Recherche et développement dans le domaine de l'aéronautique civile
PLF 2017;Budget général;Recherche et enseignement supérieur;190;Recherche dans les domaines de l'énergie, du développement et de la mobilité durables;15;Charges nucléaires de long terme des installations du CEA
PLF 2017;Budget général;Recherche et enseignement supérieur;192;Recherche et enseignement supérieur en matière économique et industrielle;01;Organismes de formation supérieure et de recherche
PLF 2017;Budget général;Recherche et enseignement supérieur;192;Recherche et enseignement supérieur en matière économique et industrielle;02;Soutien et diffusion de l'innovation technologique
PLF 2017;Budget général;Recherche et enseignement supérieur;192;Recherche et enseignement supérieur en matière économique et industrielle;03;Soutien de la recherche industrielle stratégique
PLF 2017;Budget général;Recherche et enseignement supérieur;191;Recherche duale (civile et militaire);01;Recherche duale en sciences du vivant
PLF 2017;Budget général;Recherche et enseignement supérieur;191;Recherche duale (civile et militaire);02;Recherche duale en sciences et techniques de l'information et de la communication
PLF 2017;Budget général;Recherche et enseignement supérieur;191;Recherche duale (civile et militaire);03;Recherche duale dans le domaine aérospatial
PLF 2017;Budget général;Recherche et enseignement supérieur;191;Recherche duale (civile et militaire);04;Autres recherches et développements technologiques duaux
PLF 2017;Budget général;Recherche et enseignement supérieur;186;Recherche culturelle et culture scientifique;01;Recherche culturelle
PLF 2017;Budget général;Recherche et enseignement supérieur;186;Recherche culturelle et culture scientifique;03;Culture scientifique et technique
PLF 2017;Budget général;Recherche et enseignement supérieur;142;Enseignement supérieur et recherche agricoles;01;Enseignement supérieur
PLF 2017;Budget général;Recherche et enseignement supérieur;142;Enseignement supérieur et recherche agricoles;02;Recherche, développement et transfert de technologie
PLF 2017;Budget général;Régimes sociaux et de retraite;198;Régimes sociaux et de retraite des transports terrestres;03;Régime de retraite du personnel de la SNCF
PLF 2017;Budget général;Régimes sociaux et de retraite;198;Régimes sociaux et de retraite des transports terrestres;04;Régime de retraite du personnel de la RATP
PLF 2017;Budget général;Régimes sociaux et de retraite;198;Régimes sociaux et de retraite des transports terrestres;05;Autres régimes
PLF 2017;Budget général;Régimes sociaux et de retraite;197;Régimes de retraite et de sécurité sociale des marins;01;Régimes de retraite et de sécurité sociale des marins
PLF 2017;Budget général;Régimes sociaux et de retraite;195;Régimes de retraite des mines, de la SEITA et divers;01;Versements au fonds spécial de retraite de la caisse autonome nationale de sécurité sociale dans les mines
PLF 2017;Budget général;Régimes sociaux et de retraite;195;Régimes de retraite des mines, de la SEITA et divers;02;Régime de retraite de la SEITA
PLF 2017;Budget général;Régimes sociaux et de retraite;195;Régimes de retraite des mines, de la SEITA et divers;03;Caisse des retraites de l'Imprimerie nationale
PLF 2017;Budget général;Régimes sociaux et de retraite;195;Régimes de retraite des mines, de la SEITA et divers;04;Caisse des retraites des régies ferroviaires d'outre-mer
PLF 2017;Budget général;Régimes sociaux et de retraite;195;Régimes de retraite des mines, de la SEITA et divers;07;Versements liés à la liquidation de l'ORTF
PLF 2017;Budget général;Régimes sociaux et de retraite;195;Régimes de retraite des mines, de la SEITA et divers;09;"Contributions exceptionnelles au compte d'affectation spéciale ""Pensions"""
PLF 2017;Budget général;Régimes sociaux et de retraite;195;Régimes de retraite des mines, de la SEITA et divers;10;Caisse de retraite des fonctionnaires de Mayotte (CRFM)
PLF 2017;Budget général;Relations avec les collectivités territoriales;119;Concours financiers aux collectivités territoriales et à leurs groupements;01;Soutien aux projets des communes et groupements de communes
PLF 2017;Budget général;Relations avec les collectivités territoriales;119;Concours financiers aux collectivités territoriales et à leurs groupements;02;Dotation générale de décentralisation des communes
PLF 2017;Budget général;Relations avec les collectivités territoriales;119;Concours financiers aux collectivités territoriales et à leurs groupements;03;Soutien aux projets des départements
PLF 2017;Budget général;Relations avec les collectivités territoriales;119;Concours financiers aux collectivités territoriales et à leurs groupements;04;Dotation générale de décentralisation des départements
PLF 2017;Budget général;Relations avec les collectivités territoriales;119;Concours financiers aux collectivités territoriales et à leurs groupements;05;Dotation générale de décentralisation des régions
PLF 2017;Budget général;Relations avec les collectivités territoriales;119;Concours financiers aux collectivités territoriales et à leurs groupements;06;Dotation générale de décentralisation concours particuliers
PLF 2017;Budget général;Relations avec les collectivités territoriales;122;Concours spécifiques et administration;01;Aides exceptionnelles aux collectivités territoriales
PLF 2017;Budget général;Relations avec les collectivités territoriales;122;Concours spécifiques et administration;02;Administration des relations avec les collectivités territoriales
PLF 2017;Budget général;Relations avec les collectivités territoriales;122;Concours spécifiques et administration;04;Dotations Outre-Mer
PLF 2017;Budget général;Remboursements et dégrèvements;200;Remboursements et dégrèvements d'impôts d'État (crédits évaluatifs);11;Remboursements et restitutions liés à la mécanique de l'impôt
PLF 2017;Budget général;Remboursements et dégrèvements;200;Remboursements et dégrèvements d'impôts d'État (crédits évaluatifs);12;Remboursements et dégrèvements liées à des politiques publiques
PLF 2017;Budget général;Remboursements et dégrèvements;200;Remboursements et dégrèvements d'impôts d'État (crédits évaluatifs);13;Remboursements et dégrèvements liés à la gestion des produits de l'Etat
PLF 2017;Budget général;Remboursements et dégrèvements;201;Remboursements et dégrèvements d'impôts locaux (crédits évaluatifs);01;Taxe professionnelle et contribution économique territoriale  et autres impôts économiques créés ou modifiés dans le cadre de la réforme de la taxe professionnelle
PLF 2017;Budget général;Remboursements et dégrèvements;201;Remboursements et dégrèvements d'impôts locaux (crédits évaluatifs);02;Taxes foncières
PLF 2017;Budget général;Remboursements et dégrèvements;201;Remboursements et dégrèvements d'impôts locaux (crédits évaluatifs);03;Taxe d'habitation
PLF 2017;Budget général;Remboursements et dégrèvements;201;Remboursements et dégrèvements d'impôts locaux (crédits évaluatifs);04;Admission en non valeur d'impôts locaux
PLF 2017;Budget général;Santé;204;Prévention, sécurité sanitaire et offre de soins;11;Pilotage de la politique de santé publique
PLF 2017;Budget général;Santé;204;Prévention, sécurité sanitaire et offre de soins;12;Santé des populations
PLF 2017;Budget général;Santé;204;Prévention, sécurité sanitaire et offre de soins;14;Prévention des maladies chroniques et qualité de vie des malades
PLF 2017;Budget général;Santé;204;Prévention, sécurité sanitaire et offre de soins;15;Prévention des risques liés à l'environnement et à l'alimentation
PLF 2017;Budget général;Santé;204;Prévention, sécurité sanitaire et offre de soins;16;Veille et sécurité sanitaire
PLF 2017;Budget général;Santé;204;Prévention, sécurité sanitaire et offre de soins;17;Politique des produits de santé et de la qualité des pratiques et des soins
PLF 2017;Budget général;Santé;204;Prévention, sécurité sanitaire et offre de soins;18;Projets régionaux de santé
PLF 2017;Budget général;Santé;204;Prévention, sécurité sanitaire et offre de soins;19;Modernisation de l'offre de soins
PLF 2017;Budget général;Santé;183;Protection maladie;02;Aide médicale de l'Etat
PLF 2017;Budget général;Santé;183;Protection maladie;03;Fonds d'indemnisation des victimes de l'amiante
PLF 2017;Budget général;Sécurités;176;Police nationale;01;Ordre public et protection de la souveraineté
PLF 2017;Budget général;Sécurités;176;Police nationale;02;Sécurité et paix publiques
PLF 2017;Budget général;Sécurités;176;Police nationale;03;Sécurité routière
PLF 2017;Budget général;Sécurités;176;Police nationale;04;Police des étrangers et sûreté des transports internationaux
PLF 2017;Budget général;Sécurités;176;Police nationale;05;Missions de police judiciaire et concours à la justice
PLF 2017;Budget général;Sécurités;176;Police nationale;06;Commandement, ressources humaines et logistique
PLF 2017;Budget général;Sécurités;152;Gendarmerie nationale;01;Ordre et sécurité publics
PLF 2017;Budget général;Sécurités;152;Gendarmerie nationale;02;Sécurité routière
PLF 2017;Budget général;Sécurités;152;Gendarmerie nationale;03;Missions de police judiciaire et concours à la justice
PLF 2017;Budget général;Sécurités;152;Gendarmerie nationale;04;Commandement, ressources humaines et logistique
PLF 2017;Budget général;Sécurités;152;Gendarmerie nationale;05;Exercice des missions militaires
PLF 2017;Budget général;Sécurités;207;Sécurité et éducation routières;01;Observation, prospective, réglementation et soutien au programme
PLF 2017;Budget général;Sécurités;207;Sécurité et éducation routières;02;Démarches interministérielles et communication
PLF 2017;Budget général;Sécurités;207;Sécurité et éducation routières;03;Éducation routière
PLF 2017;Budget général;Sécurités;161;Sécurité civile;11;Prévention et gestion de crises
PLF 2017;Budget général;Sécurités;161;Sécurité civile;12;Préparation et interventions spécialisées des moyens nationaux
PLF 2017;Budget général;Sécurités;161;Sécurité civile;13;Soutien aux acteurs de la sécurité civile
PLF 2017;Budget général;Sécurités;161;Sécurité civile;14;Fonctionnement, soutien et logistique
PLF 2017;Budget général;Solidarité, insertion et égalité des chances;304;Inclusion sociale et protection des personnes;11;Prime d'activité et autres dispositifs
PLF 2017;Budget général;Solidarité, insertion et égalité des chances;304;Inclusion sociale et protection des personnes;12;Economie sociale et solidaire
PLF 2017;Budget général;Solidarité, insertion et égalité des chances;304;Inclusion sociale et protection des personnes;13;Autres expérimentations
PLF 2017;Budget général;Solidarité, insertion et égalité des chances;304;Inclusion sociale et protection des personnes;14;Aide alimentaire
PLF 2017;Budget général;Solidarité, insertion et égalité des chances;304;Inclusion sociale et protection des personnes;15;Qualification en travail social
PLF 2017;Budget général;Solidarité, insertion et égalité des chances;304;Inclusion sociale et protection des personnes;16;Protection juridique des majeurs
PLF 2017;Budget général;Solidarité, insertion et égalité des chances;304;Inclusion sociale et protection des personnes;17;Protection et accompagnement des enfants, des jeunes et des familles vulnérables
PLF 2017;Budget général;Solidarité, insertion et égalité des chances;304;Inclusion sociale et protection des personnes;18;Aide à la réinsertion familiale et sociale des anciens migrants dans leur pays d’origine (ARFS)
PLF 2017;Budget général;Solidarité, insertion et égalité des chances;157;Handicap et dépendance;11;Fonctionnement des maisons départementales des personnes handicapées
PLF 2017;Budget général;Solidarité, insertion et égalité des chances;157;Handicap et dépendance;12;Allocations et aides en faveur des personnes handicapées
PLF 2017;Budget général;Solidarité, insertion et égalité des chances;157;Handicap et dépendance;13;Pilotage du programme et animation des politiques inclusives
PLF 2017;Budget général;Solidarité, insertion et égalité des chances;137;Égalité entre les femmes et les hommes;11;Actions et expérimentations pour la culture de l'égalité et en faveur de l'égalité professionnelle, politique et sociale
PLF 2017;Budget général;Solidarité, insertion et égalité des chances;137;Égalité entre les femmes et les hommes;12;Promotion des droits, prévention et lutte contre les violences sexistes
PLF 2017;Budget général;Solidarité, insertion et égalité des chances;137;Égalité entre les femmes et les hommes;13;Soutien du programme égalité entre les femmes et les hommes
PLF 2017;Budget général;Solidarité, insertion et égalité des chances;137;Égalité entre les femmes et les hommes;14;Actions de soutien, d'expérimentation en faveur de l’égalité entre les femmes et les hommes 
PLF 2017;Budget général;Solidarité, insertion et égalité des chances;137;Égalité entre les femmes et les hommes;15;Prévention et lutte contre la prostitution et la traite des êtres humains
PLF 2017;Budget général;Solidarité, insertion et égalité des chances;124;Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative;10;Fonctionnement des services
PLF 2017;Budget général;Solidarité, insertion et égalité des chances;124;Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative;11;Systèmes d'information
PLF 2017;Budget général;Solidarité, insertion et égalité des chances;124;Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative;12;Affaires immobilières
PLF 2017;Budget général;Solidarité, insertion et égalité des chances;124;Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative;14;Communication
PLF 2017;Budget général;Solidarité, insertion et égalité des chances;124;Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative;15;Affaires européennes et internationales
PLF 2017;Budget général;Solidarité, insertion et égalité des chances;124;Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative;16;Statistiques, études et recherche
PLF 2017;Budget général;Solidarité, insertion et égalité des chances;124;Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative;17;Financement des agences régionales de santé
PLF 2017;Budget général;Solidarité, insertion et égalité des chances;124;Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative;18;Personnels mettant en oeuvre les politiques sociales et de la santé
PLF 2017;Budget général;Solidarité, insertion et égalité des chances;124;Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative;19;Personnels mettant en oeuvre les politiques du sport, de la jeunesse, de l'éducation populaire et de la vie associative
PLF 2017;Budget général;Solidarité, insertion et égalité des chances;124;Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative;20;Personnels mettant en oeuvre les politiques pour les droits des femmes
PLF 2017;Budget général;Solidarité, insertion et égalité des chances;124;Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative;21;Personnels mettant en œuvre les politiques de la ville, du logement et de l'hébergement
PLF 2017;Budget général;Solidarité, insertion et égalité des chances;124;Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative;22;Personnels transversaux et de soutien
PLF 2017;Budget général;Solidarité, insertion et égalité des chances;124;Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative;23;Politique des ressources humaines
PLF 2017;Budget général;Sport, jeunesse et vie associative;219;Sport;01;Promotion du sport pour le plus grand nombre
PLF 2017;Budget général;Sport, jeunesse et vie associative;219;Sport;02;Développement du sport de haut niveau
PLF 2017;Budget général;Sport, jeunesse et vie associative;219;Sport;03;Prévention par le sport et protection des sportifs
PLF 2017;Budget général;Sport, jeunesse et vie associative;219;Sport;04;Promotion des métiers du sport
PLF 2017;Budget général;Sport, jeunesse et vie associative;163;Jeunesse et vie associative;01;Développement de la vie associative
PLF 2017;Budget général;Sport, jeunesse et vie associative;163;Jeunesse et vie associative;02;Actions en faveur de la jeunesse et de l'éducation populaire
PLF 2017;Budget général;Sport, jeunesse et vie associative;163;Jeunesse et vie associative;04;Développement du service civique
PLF 2017;Budget général;Travail et emploi;102;Accès et retour à l'emploi;01;Amélioration de l’efficacité du service public de l’emploi
PLF 2017;Budget général;Travail et emploi;102;Accès et retour à l'emploi;02;Amélioration des dispositifs en faveur de l’emploi des personnes les plus éloignées du marché du travail
PLF 2017;Budget général;Travail et emploi;103;Accompagnement des mutations économiques et développement de l'emploi;01;Anticipation et accompagnement des conséquences des mutations économiques sur l'emploi
PLF 2017;Budget général;Travail et emploi;103;Accompagnement des mutations économiques et développement de l'emploi;02;Amélioration de l'insertion dans l'emploi par l'adaptation des qualifications et la reconnaissance des compétences
PLF 2017;Budget général;Travail et emploi;103;Accompagnement des mutations économiques et développement de l'emploi;03;Développement de l'emploi
PLF 2017;Budget général;Travail et emploi;111;Amélioration de la qualité de l'emploi et des relations du travail;01;Santé et sécurité au travail
PLF 2017;Budget général;Travail et emploi;111;Amélioration de la qualité de l'emploi et des relations du travail;02;Qualité et effectivité du droit
PLF 2017;Budget général;Travail et emploi;111;Amélioration de la qualité de l'emploi et des relations du travail;03;Dialogue social et démocratie sociale
PLF 2017;Budget général;Travail et emploi;111;Amélioration de la qualité de l'emploi et des relations du travail;04;Lutte contre le travail illégal
PLF 2017;Budget général;Travail et emploi;155;Conception, gestion et évaluation des politiques de l'emploi et du travail;07;Fonds social européen - Assistance technique
PLF 2017;Budget général;Travail et emploi;155;Conception, gestion et évaluation des politiques de l'emploi et du travail;08;Fonctionnement des services
PLF 2017;Budget général;Travail et emploi;155;Conception, gestion et évaluation des politiques de l'emploi et du travail;09;Systèmes d'information
PLF 2017;Budget général;Travail et emploi;155;Conception, gestion et évaluation des politiques de l'emploi et du travail;10;Affaires immobilières
PLF 2017;Budget général;Travail et emploi;155;Conception, gestion et évaluation des politiques de l'emploi et du travail;11;Communication
PLF 2017;Budget général;Travail et emploi;155;Conception, gestion et évaluation des politiques de l'emploi et du travail;12;Etudes, statistiques évaluation et recherche
PLF 2017;Budget général;Travail et emploi;155;Conception, gestion et évaluation des politiques de l'emploi et du travail;13;Politique des ressources humaines
PLF 2017;Budget général;Travail et emploi;155;Conception, gestion et évaluation des politiques de l'emploi et du travail;14;Personnels mettant en oeuvre les politiques d'accès et retour à l'emploi
PLF 2017;Budget général;Travail et emploi;155;Conception, gestion et évaluation des politiques de l'emploi et du travail;15;Personnels mettant en oeuvre les politiques d'accompagnement des mutations économiques et développement de l'emploi
PLF 2017;Budget général;Travail et emploi;155;Conception, gestion et évaluation des politiques de l'emploi et du travail;16;Personnels mettant en oeuvre les politiques d'amélioration de la qualité de l'emploi et des relations du travail
PLF 2017;Budget général;Travail et emploi;155;Conception, gestion et évaluation des politiques de l'emploi et du travail;17;Personnels de statistiques, études et recherche
PLF 2017;Budget général;Travail et emploi;155;Conception, gestion et évaluation des politiques de l'emploi et du travail;18;Personnels transversaux et de soutien
PLF 2017;Budgets annexes;Contrôle et exploitation aériens;613;Soutien aux prestations de l'aviation civile;01;Ressources humaines et management
PLF 2017;Budgets annexes;Contrôle et exploitation aériens;613;Soutien aux prestations de l'aviation civile;02;Logistique
PLF 2017;Budgets annexes;Contrôle et exploitation aériens;613;Soutien aux prestations de l'aviation civile;03;Affaires financières
PLF 2017;Budgets annexes;Contrôle et exploitation aériens;613;Soutien aux prestations de l'aviation civile;04;Formation aéronautique
PLF 2017;Budgets annexes;Contrôle et exploitation aériens;612;Navigation aérienne;01;Soutien et prestations externes de la Navigation aérienne
PLF 2017;Budgets annexes;Contrôle et exploitation aériens;612;Navigation aérienne;02;Exploitation et innovation de la Navigation aérienne
PLF 2017;Budgets annexes;Contrôle et exploitation aériens;614;Transports aériens, surveillance et certification;01;Développement durable et régulation
PLF 2017;Budgets annexes;Contrôle et exploitation aériens;614;Transports aériens, surveillance et certification;02;Surveillance et certification
PLF 2017;Budgets annexes;Contrôle et exploitation aériens;614;Transports aériens, surveillance et certification;04;Enquêtes de sécurité aérienne
PLF 2017;Budgets annexes;Publications officielles et information administrative;623;Édition et diffusion;01;Diffusion légale
PLF 2017;Budgets annexes;Publications officielles et information administrative;623;Édition et diffusion;02;Information administrative, édition publique et promotion
PLF 2017;Budgets annexes;Publications officielles et information administrative;624;Pilotage et ressources humaines;01;Pilotage, modernisation et activités numériques
PLF 2017;Budgets annexes;Publications officielles et information administrative;624;Pilotage et ressources humaines;02;Promotion et distribution des publications
PLF 2017;Budgets annexes;Publications officielles et information administrative;624;Pilotage et ressources humaines;03;Dépenses de personnel
PLF 2017;Budgets annexes;Publications officielles et information administrative;624;Pilotage et ressources humaines;04;Convention Etat - Société anonyme de composition et d'impression des journaux officiels
PLF 2017;Comptes d'affectation spéciale;Aides à l'acquisition de véhicules propres;791;Contribution au financement de l'attribution d'aides à l'acquisition de véhicules propres;01;Contribution au financement de l'attribution d'aides à l'acquisition de véhicules propres
PLF 2017;Comptes d'affectation spéciale;Aides à l'acquisition de véhicules propres;792;Contribution au financement de l'attribution d'aides au retrait de véhicules polluants;01;Contribution au financement de l'attribution d'aides au retrait de véhicules polluants
PLF 2017;Comptes d'affectation spéciale;Contrôle de la circulation et du stationnement routiers;751;Structures et dispositifs de sécurité routière;01;Dispositifs de contrôle
PLF 2017;Comptes d'affectation spéciale;Contrôle de la circulation et du stationnement routiers;751;Structures et dispositifs de sécurité routière;02;Centre national de traitement
PLF 2017;Comptes d'affectation spéciale;Contrôle de la circulation et du stationnement routiers;751;Structures et dispositifs de sécurité routière;03;Soutien au programme
PLF 2017;Comptes d'affectation spéciale;Contrôle de la circulation et du stationnement routiers;751;Structures et dispositifs de sécurité routière;04;Fichier national du permis de conduire
